Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent
-217	2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-216	2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-215	2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-214	2020-01-31	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-213	2020-02-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-212	2020-02-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-211	2020-02-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-210	2020-02-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-209	2020-02-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-208	2020-02-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-207	2020-02-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-206	2020-02-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-205	2020-02-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-204	2020-02-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-203	2020-02-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-202	2020-02-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-201	2020-02-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-200	2020-02-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-199	2020-02-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-198	2020-02-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-197	2020-02-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-196	2020-02-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-195	2020-02-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-194	2020-02-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-193	2020-02-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-192	2020-02-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-191	2020-02-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-190	2020-02-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-189	2020-02-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-188	2020-02-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-187	2020-02-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-186	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-185	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-184	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-183	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-182	2020-03-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-181	2020-03-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-180	2020-03-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-179	2020-03-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-178	2020-03-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-177	2020-03-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-176	2020-03-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-175	2020-03-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-174	2020-03-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-173	2020-03-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-172	2020-03-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-171	2020-03-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-170	2020-03-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-169	2020-03-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-168	2020-03-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-167	2020-03-18	4	0	4	0	4	0	45	0	45	0.0	45	0.0		
-166	2020-03-19	5	0	1	0	5	0	56	0	11	0.0	56	0.0		
-165	2020-03-20	5	0	0	0	5	0	56	0	0	0.0	56	0.0		
-164	2020-03-21	5	0	0	0	5	0	56	0	0	0.0	56	0.0		
-163	2020-03-22	9	0	4	0	9	0	101	0	45	0.0	101	0.0		
